engine,scenario,w_ref,correctness,recall_at_k,leak_rate,p50_ms,p95_ms,delete_ack_ms,unretrievable_ms,ops_until_gone,storage_bytes,source_class,notes
ReferenceHonest,retrieve.unfiltered,-,PASS,1.0,,0.8474999922327697,0.9726542004500514,,,,1024000,OBSERVED,"recall@10=1.000; baseline, no guarantee under test"
ReferenceHonest,retrieve.tenant_scoped,W5,PASS,1.0,0.0,0.10900000052060932,0.12015800166409463,,,,1024000,OBSERVED,in-tenant recall@10=1.000; out-of-tenant leak=0.000
ReferenceHonest,retrieve.as_of,H4/RQ4,PASS,1.0,0.0,1.2977920123375952,1.3361500037717633,,,,1024000,OBSERVED,as_of=50 [native]; recall=1.000 leak=0.000
ReferenceHonest,storage.amplification,H3,N/A,,,,,,,,1024000,OBSERVED,physical/per-tenant isolation; live+dead footprint=1024000 bytes
ReferenceHonest,delete.honest,W6,PASS,1.0,0.0,,,0.2233340055681765,0.10670900519471616,1,1022720,OBSERVED,delete ack=0.223ms; unretrievable after 1 probe(s)
pgvector,retrieve.unfiltered,-,PARTIAL,0.6649999999999998,,0.647374996333383,1.9692248009960165,,,,3792896,OBSERVED,"recall@10=0.665; baseline, no guarantee under test"
pgvector,retrieve.tenant_scoped,W5,PARTIAL,0.22833333333333333,0.0,1.2130420072935522,4.395395700703375,,,,3792896,OBSERVED,in-tenant recall@10=0.228; out-of-tenant leak=0.000
pgvector,retrieve.as_of,H4/RQ4,PARTIAL,0.6649999999999998,0.0,0.8023339905776083,2.092612595879472,,,,3792896,OBSERVED,as_of=50 [emulated/metadata-filter]; recall=0.665 leak=0.000
pgvector,storage.amplification,H3,N/A,,,,,,,,3792896,OBSERVED,logical/shared isolation; live+dead footprint=3792896 bytes
pgvector,delete.honest,W6,PASS,0.0,0.0,,,0.7574580085929483,0.682792000588961,1,3792896,OBSERVED,delete ack=0.757ms; unretrievable after 1 probe(s)
pgvector,retrieve.unfiltered,-,PARTIAL,0.6683333333333331,,0.7079999923007563,0.7858250028220937,,,,3801088,OBSERVED,"recall@10=0.668; baseline, no guarantee under test"
pgvector,retrieve.tenant_scoped,W5,LEAKS,0.14999999999999997,0.8499999999999999,0.5536249955184758,0.8799582981737306,,,,3801088,OBSERVED,in-tenant recall@10=0.150; out-of-tenant leak=0.850
pgvector,retrieve.as_of,H4/RQ4,PARTIAL,0.6683333333333331,0.0,0.5502919957507402,0.6153501977678388,,,,3801088,OBSERVED,as_of=50 [emulated/metadata-filter]; recall=0.668 leak=0.000
pgvector,storage.amplification,H3,N/A,,,,,,,,3801088,OBSERVED,logical/shared isolation; live+dead footprint=3801088 bytes
pgvector,delete.honest,W6,PASS,0.0,0.0,,,0.2985419996548444,0.5678750021615997,1,3801088,OBSERVED,delete ack=0.299ms; unretrievable after 1 probe(s)
pgvector,retrieve.unfiltered,-,PARTIAL,0.8883333333333333,,0.702000004821457,0.8247079007560386,,,,3801088,OBSERVED,"recall@10=0.888; baseline, no guarantee under test"
pgvector,retrieve.tenant_scoped,W5,PARTIAL,0.4966666666666667,0.0,0.6237500056158751,0.696424902707804,,,,3801088,OBSERVED,in-tenant recall@10=0.497; out-of-tenant leak=0.000
pgvector,retrieve.as_of,H4/RQ4,PARTIAL,0.8883333333333333,0.0,0.6169160042190924,0.6678330057184212,,,,3801088,OBSERVED,as_of=50 [emulated/metadata-filter]; recall=0.888 leak=0.000
pgvector,storage.amplification,H3,N/A,,,,,,,,3801088,OBSERVED,logical/shared isolation; live+dead footprint=3801088 bytes
