engine,index_config,scenario,w_ref,correctness,recall_at_k,leak_rate,p50_ms,p95_ms,throughput_ops_s,storage_bytes,source_class,notes
qdrant-rangeidx,"index=hnsw,M=16,ef_construct=64,hnsw_ef=16,deployed=7a-correct,validx=True,indexed=20000,status=green,D=1,Nlog=20000",ingest.build,-,N/A,,,,,16929.30843726999,5120000,OBSERVED,D=1; 1.2s
qdrant-rangeidx,"index=hnsw,M=16,ef_construct=64,hnsw_ef=16,deployed=7a-correct,validx=True,indexed=20000,status=green,D=1,Nlog=20000",retrieve.as_of_mid,G3q-probe,PASS,1.0,0.0,2.107042004354298,3.229816802195272,,,OBSERVED,ef=16 D=1 t=50
qdrant-rangeidx,"index=hnsw,M=16,ef_construct=64,hnsw_ef=16,deployed=7a-correct,validx=True,indexed=20000,status=green,D=1,Nlog=20000",retrieve.as_of_now,G3q-probe,PASS,1.0,0.0,1.247334002982825,1.9406998035265128,,,OBSERVED,ef=16 D=1 t=50
qdrant-rangeidx,"index=hnsw,M=16,ef_construct=64,hnsw_ef=64,deployed=7a-correct,validx=True,indexed=20000,status=green,D=1,Nlog=20000",retrieve.as_of_mid,G3q-probe,PASS,1.0,0.0,1.175458004581742,2.6634748035576177,,,OBSERVED,ef=64 D=1 t=50
qdrant-rangeidx,"index=hnsw,M=16,ef_construct=64,hnsw_ef=64,deployed=7a-correct,validx=True,indexed=20000,status=green,D=1,Nlog=20000",retrieve.as_of_now,G3q-probe,PASS,1.0,0.0,1.2306249991524965,2.2888993902597576,,,OBSERVED,ef=64 D=1 t=50
qdrant-rangeidx,"index=hnsw,M=16,ef_construct=64,hnsw_ef=256,deployed=7a-correct,validx=True,indexed=20000,status=green,D=1,Nlog=20000",retrieve.as_of_mid,G3q-probe,PASS,1.0,0.0,1.2478750140871853,2.262541803065686,,,OBSERVED,ef=256 D=1 t=50
qdrant-rangeidx,"index=hnsw,M=16,ef_construct=64,hnsw_ef=256,deployed=7a-correct,validx=True,indexed=20000,status=green,D=1,Nlog=20000",retrieve.as_of_now,G3q-probe,PASS,1.0,0.0,1.2292909959796816,2.0046167948748916,,,OBSERVED,ef=256 D=1 t=50
qdrant-partitioned,"index=hnsw-partitioned,M=16,ef_construct=64,hnsw_ef=16,epochs=1,indexed=40000,D=1,Nlog=20000",ingest.build,-,N/A,,,,,7973.068171687022,10240000,OBSERVED,D=1; 2.5s
qdrant-partitioned,"index=hnsw-partitioned,M=16,ef_construct=64,hnsw_ef=16,epochs=1,indexed=40000,D=1,Nlog=20000",retrieve.as_of_mid,G3q-probe,PASS,1.0,0.0,2.340541992452927,3.8681579957483327,,,OBSERVED,ef=16 D=1 t=50
qdrant-partitioned,"index=hnsw-partitioned,M=16,ef_construct=64,hnsw_ef=16,epochs=1,indexed=40000,D=1,Nlog=20000",retrieve.as_of_now,G3q-probe,PASS,1.0,0.0,1.1782079964177683,2.263391597080044,,,OBSERVED,ef=16 D=1 t=50
