engine,index_config,scenario,w_ref,correctness,recall_at_k,leak_rate,p50_ms,p95_ms,throughput_ops_s,storage_bytes,source_class,notes
pgvector,"index=hnsw,M=16,ef_construction=64,ef_search=16,lists=100,probes=10,deployed=7a-correct,D=1,Nlog=20000",ingest.build,-,N/A,,,,,4960.268251300254,18792448,OBSERVED,D=1; 4.0s; physical=20000
pgvector,"index=hnsw,M=16,ef_construction=64,ef_search=16,lists=100,probes=10,deployed=7a-correct,D=1,Nlog=20000",retrieve.as_of_mid,H4/RQ4,PARTIAL,0.4233333333333333,0.0,0.7583339902339503,0.898683798732236,,,OBSERVED,ef=16 D=1 t=50 sel=1/1
pgvector,"index=hnsw,M=16,ef_construction=64,ef_search=16,lists=100,probes=10,deployed=7a-correct,D=1,Nlog=20000",retrieve.as_of_now,H4/RQ4,PARTIAL,0.4233333333333333,0.0,0.629292000667192,0.7160669949371367,,,OBSERVED,ef=16 D=1 t=50 sel=1/1
pgvector,"index=hnsw,M=16,ef_construction=64,ef_search=64,lists=100,probes=10,deployed=7a-correct,D=1,Nlog=20000",retrieve.as_of_mid,H4/RQ4,PARTIAL,0.7500000000000001,0.0,0.9623749938327819,1.39671639772132,,,OBSERVED,ef=64 D=1 t=50 sel=1/1
pgvector,"index=hnsw,M=16,ef_construction=64,ef_search=64,lists=100,probes=10,deployed=7a-correct,D=1,Nlog=20000",retrieve.as_of_now,H4/RQ4,PARTIAL,0.7500000000000001,0.0,0.9457919950364158,1.0653331963112578,,,OBSERVED,ef=64 D=1 t=50 sel=1/1
pgvector,"index=hnsw,M=16,ef_construction=64,ef_search=256,lists=100,probes=10,deployed=7a-correct,D=1,Nlog=20000",retrieve.as_of_mid,H4/RQ4,PARTIAL,0.9866666666666667,0.0,1.6775830008555204,1.8434163939673454,,,OBSERVED,ef=256 D=1 t=50 sel=1/1
pgvector,"index=hnsw,M=16,ef_construction=64,ef_search=256,lists=100,probes=10,deployed=7a-correct,D=1,Nlog=20000",retrieve.as_of_now,H4/RQ4,PARTIAL,0.9866666666666667,0.0,1.6345829935744405,1.7917921912157908,,,OBSERVED,ef=256 D=1 t=50 sel=1/1
pgvector-iter,"index=hnsw,M=16,ef_construction=64,ef_search=16,lists=100,probes=10,deployed=7a-correct,iterative=relaxed_order,D=1,Nlog=20000",ingest.build,-,N/A,,,,,5138.5756078151835,18800640,OBSERVED,D=1; 3.9s; physical=20000
pgvector-iter,"index=hnsw,M=16,ef_construction=64,ef_search=16,lists=100,probes=10,deployed=7a-correct,iterative=relaxed_order,D=1,Nlog=20000",retrieve.as_of_mid,H4/RQ4,PARTIAL,0.39,0.0,1.927375007653609,11.82113359682261,,,OBSERVED,ef=16 D=1 t=50 sel=1/1
pgvector-iter,"index=hnsw,M=16,ef_construction=64,ef_search=16,lists=100,probes=10,deployed=7a-correct,iterative=relaxed_order,D=1,Nlog=20000",retrieve.as_of_now,H4/RQ4,PARTIAL,0.39,0.0,1.8633750005392358,3.1860167975537474,,,OBSERVED,ef=16 D=1 t=50 sel=1/1
