engine,index_config,scenario,w_ref,correctness,recall_at_k,leak_rate,p50_ms,p95_ms,throughput_ops_s,delete_ack_ms,ops_until_gone,storage_bytes,source_class,notes
oracle-exact,N=20000,retrieve.unfiltered,-,PASS,1.0,,0.1593750057509169,0.21812460036016998,,,,5120000,OBSERVED,vectorized exact baseline (in-process)
qdrant,"index=hnsw,M=16,ef_construct=64,hnsw_ef=16,deployed=7a-correct,indexed=20000,status=green,N=20000",ingest.build,-,N/A,,,,,17590.3480690804,,,5120000,OBSERVED,"bulk load + index build = 1.1s (17,590 vec/s)"
qdrant,"index=hnsw,M=16,ef_construct=64,hnsw_ef=16,deployed=7a-correct,indexed=20000,status=green,N=20000",retrieve.unfiltered,-,PASS,1.0,,2.1936249977443367,3.3728002017596728,,,,,OBSERVED,ef=16
qdrant,"index=hnsw,M=16,ef_construct=64,hnsw_ef=16,deployed=7a-correct,indexed=20000,status=green,N=20000",retrieve.tenant_scoped,W5/H1,PASS,1.0,0.0,1.3194589992053807,2.393400599248706,,,,,OBSERVED,ef=16 selectivity=1/64
qdrant,"index=hnsw,M=16,ef_construct=64,hnsw_ef=64,deployed=7a-correct,indexed=20000,status=green,N=20000",retrieve.unfiltered,-,PASS,1.0,,2.1895829995628446,4.309333593118933,,,,,OBSERVED,ef=64
qdrant,"index=hnsw,M=16,ef_construct=64,hnsw_ef=64,deployed=7a-correct,indexed=20000,status=green,N=20000",retrieve.tenant_scoped,W5/H1,PASS,1.0,0.0,1.1957500100834295,2.2596667928155503,,,,,OBSERVED,ef=64 selectivity=1/64
qdrant,"index=hnsw,M=16,ef_construct=64,hnsw_ef=256,deployed=7a-correct,indexed=20000,status=green,N=20000",retrieve.unfiltered,-,PASS,1.0,,1.154165991465561,2.1522918017581105,,,,,OBSERVED,ef=256
qdrant,"index=hnsw,M=16,ef_construct=64,hnsw_ef=256,deployed=7a-correct,indexed=20000,status=green,N=20000",retrieve.tenant_scoped,W5/H1,PASS,1.0,0.0,0.9334579954156652,1.965658602421171,,,,,OBSERVED,ef=256 selectivity=1/64
qdrant,"index=hnsw,M=16,ef_construct=64,hnsw_ef=64,deployed=7a-correct,indexed=20000,status=green,N=20000",delete.honest,W6,PASS,1.0,0.0,,,,0.9969999955501407,1,5118720,OBSERVED,ef=64; ack=1.0ms; gone@1
pgvector,"index=hnsw,M=16,ef_construction=64,ef_search=16,lists=100,probes=10,deployed=7a-correct,N=20000",ingest.build,-,N/A,,,,,5634.202832592898,,,18817024,OBSERVED,"bulk load + index build = 3.5s (5,634 vec/s)"
pgvector,"index=hnsw,M=16,ef_construction=64,ef_search=16,lists=100,probes=10,deployed=7a-correct,N=20000",retrieve.unfiltered,-,PARTIAL,0.41666666666666674,,0.7151659956434742,0.9271085989894345,,,,,OBSERVED,ef=16
pgvector,"index=hnsw,M=16,ef_construction=64,ef_search=16,lists=100,probes=10,deployed=7a-correct,N=20000",retrieve.tenant_scoped,W5/H1,PARTIAL,0.013333333333333334,0.0,0.6668749992968515,1.2319418019615107,,,,,OBSERVED,ef=16 selectivity=1/64
pgvector,"index=hnsw,M=16,ef_construction=64,ef_search=64,lists=100,probes=10,deployed=7a-correct,N=20000",retrieve.unfiltered,-,PARTIAL,0.7899999999999999,,0.9004580060718581,1.0228672093944622,,,,,OBSERVED,ef=64
